Section,Name,Address,City,Province,Postal Code,Latitude,Longitude,Type,Google Maps Link
LifeLabs (BC),Rock City PSC,2980 ISLAND HWY N,NANAIMO,BC,,49.203983,-123.997049,clinic,"https://maps.google.com/?q=49.203983,-123.997049"
LifeLabs (BC),Royal City PSC,625 FIFTH AVE,NEW WESTMINSTER,BC,,49.211318,-122.919978,clinic,"https://maps.google.com/?q=49.211318,-122.919978"
LifeLabs (BC),Royal Oak PSC,4480 WEST SAANICH RD,VICTORIA,BC,,48.428318,-123.364953,clinic,"https://maps.google.com/?q=48.428318,-123.364953"
LifeLabs (BC),Sapperton PSC,227 NELSON CRES,NEW WESTMINSTER,BC,,49.224173,-122.892183,clinic,"https://maps.google.com/?q=49.224173,-122.892183"
LifeLabs (BC),Satnam Place PSC,7130 120TH ST,SURREY,BC,,49.191303,-122.849143,clinic,"https://maps.google.com/?q=49.191303,-122.849143"
LifeLabs (BC),Scott Road PSC,12080 NORDEL WAY,SURREY,BC,,49.160943,-122.888499,clinic,"https://maps.google.com/?q=49.160943,-122.888499"
LifeLabs (BC),Sechelt PSC,5531 INLET AVE,SECHELT,BC,,49.471605,-123.756369,clinic,"https://maps.google.com/?q=49.471605,-123.756369"
LifeLabs (BC),Sidney PSC,2475 BEVAN AVE,SIDNEY,BC,,48.647469,-123.397396,clinic,"https://maps.google.com/?q=48.647469,-123.397396"
LifeLabs (BC),Simon PSC,32475 SIMON AVE,ABBOTSFORD,BC,,49.05359,-122.324425,clinic,"https://maps.google.com/?q=49.05359,-122.324425"
LifeLabs (BC),Sooke PSC,6660 SOOKE RD,SOOKE,BC,,48.379414,-123.72252,clinic,"https://maps.google.com/?q=48.379414,-123.72252"
LifeLabs (BC),Southgate PSC,50 TENTH ST,NANAIMO,BC,,49.131686,-123.923339,clinic,"https://maps.google.com/?q=49.131686,-123.923339"
LifeLabs (BC),Southill PSC,6540 FRASER ST,VANCOUVER,BC,,49.256677,-123.089772,clinic,"https://maps.google.com/?q=49.256677,-123.089772"
LifeLabs (BC),St Paul PSC,546 ST PAUL ST,KAMLOOPS,BC,,50.674247,-120.328265,clinic,"https://maps.google.com/?q=50.674247,-120.328265"
LifeLabs (BC),Steveston PSC,3811 CHATHAM RD,RICHMOND,BC,,49.163168,-123.137414,clinic,"https://maps.google.com/?q=49.163168,-123.137414"
LifeLabs (BC),Sunset PSC,8207 ONTARIO ST,VANCOUVER,BC,,49.231066,-123.105741,clinic,"https://maps.google.com/?q=49.231066,-123.105741"
LifeLabs (BC),Surrey Central PSC,10166 KING GEORGE BLVD,SURREY,BC,,49.187309,-122.844545,clinic,"https://maps.google.com/?q=49.187309,-122.844545"
LifeLabs (BC),Surrey City Centre (CC2),9639 137TH ST,SURREY,BC,,49.191303,-122.849143,clinic,"https://maps.google.com/?q=49.191303,-122.849143"
LifeLabs (BC),Terrace PSC,4634 PARK AVE,TERRACE,BC,,54.517726,-128.580982,clinic,"https://maps.google.com/?q=54.517726,-128.580982"
LifeLabs (BC),Three Pillars PSC,407 GORE AVE,VANCOUVER,BC,,49.280866,-123.097608,clinic,"https://maps.google.com/?q=49.280866,-123.097608"
LifeLabs (BC),Tranquille PSC,685 TRANQUILLE RD,KAMLOOPS,BC,,50.696926,-120.361367,clinic,"https://maps.google.com/?q=50.696926,-120.361367"
LifeLabs (BC),Tsawwassen PSC,1077 56TH ST,DELTA,BC,,49.084626,-123.057938,clinic,"https://maps.google.com/?q=49.084626,-123.057938"
LifeLabs (BC),Vernon PSC,2306 HWY 6,VERNON,BC,,50.256299,-119.265037,clinic,"https://maps.google.com/?q=50.256299,-119.265037"
LifeLabs (BC),Victoria Drive PSC,5786 VICTORIA DR,VANCOUVER,BC,,49.231539,-123.065346,clinic,"https://maps.google.com/?q=49.231539,-123.065346"
LifeLabs (BC),Walnut Grove PSC,20999 88TH AVE,LANGLEY,BC,,49.103929,-122.657047,clinic,"https://maps.google.com/?q=49.103929,-122.657047"
LifeLabs (BC),Westshore PSC,2945 JACKLIN RD,VICTORIA,BC,,48.428318,-123.364953,clinic,"https://maps.google.com/?q=48.428318,-123.364953"
LifeLabs (BC),Westside PSC,174 WILSON ST,VICTORIA,BC,,48.433217,-123.380605,clinic,"https://maps.google.com/?q=48.433217,-123.380605"
LifeLabs (BC),White Rock PSC,1656 MARTIN DR,SURREY,BC,,49.031925,-122.804847,clinic,"https://maps.google.com/?q=49.031925,-122.804847"
LifeLabs (BC),Willowbrook PSC,19653 WILLOWBROOK DR,LANGLEY,BC,,49.115747,-122.67961,clinic,"https://maps.google.com/?q=49.115747,-122.67961"
